iter	Passed	Remaining
575	7066	54275
576	7079	54265
577	7091	54249
578	7102	54231
579	7118	54246
580	7129	54223
581	7140	54201
582	7153	54193
583	7165	54179
584	7176	54163
585	7189	54152
586	7201	54137
587	7218	54166
588	7234	54179
589	7249	54187
590	7263	54189
591	7277	54185
592	7288	54166
593	7301	54156
594	7315	54161
595	7332	54181
596	7347	54188
597	7360	54183
598	7372	54166
599	7383	54149
600	7395	54129
601	7406	54107
602	7417	54088
603	7429	54069
604	7440	54051
605	7452	54033
606	7467	54046
607	7481	54045
608	7497	54057
609	7509	54043
610	7520	54022
611	7532	54004
612	7543	53984
613	7554	53967
614	7567	53956
615	7582	53964
616	7603	54014
617	7615	54000
618	7627	53984
619	7638	53962
620	7651	53954
621	7664	53945
622	7676	53930
623	7688	53915
624	7700	53900
625	7712	53886
626	7725	53880
627	7739	53881
628	7755	53893
629	7768	53883
630	7780	53872
631	7792	53859
632	7804	53840
633	7815	53819
634	7826	53800
635	7837	53780
636	7851	53776
637	7867	53786
638	7882	53794
639	7893	53777
640	7905	53758
641	7916	53737
642	7927	53715
643	7938	53697
644	7950	53680
645	7961	53659
646	7972	53638
647	7983	53617
648	7994	53598
649	8006	53580
650	8017	53564
651	8029	53543
652	8041	53529
653	8054	53524
654	8066	53512
655	8080	53507
656	8094	53510
657	8107	53498
658	8119	53482
659	8131	53469
660	8142	53450
661	8154	53437
662	8167	53426
663	8179	53415
664	8191	53400
665	8204	53393
666	8217	53385
667	8230	53377
668	8242	53358
669	8253	53341
670	8265	53324
671	8277	53314
672	8289	53299
673	8301	53282
674	8313	53268
675	8325	53251
676	8337	53237
677	8348	53219
678	8359	53199
679	8372	53187
680	8384	53174
681	8402	53199
682	8414	53185
683	8426	53170
684	8437	53152
685	8450	53139
686	8464	53139
687	8476	53124
688	8488	53109
689	8499	53090
690	8513	53086
691	8525	53075
692	8537	53063
693	8549	53046
694	8561	53032
695	8573	53018
696	8585	53001
697	8596	52982
698	8608	52966
699	8619	52949
700	8630	52930
701	8643	52917
702	8655	52905
703	8670	52909
704	8687	52924
705	8701	52926
706	8713	52909
707	8724	52891
708	8736	52873
709	8747	52854
710	8759	52837
711	8770	52817
712	8782	52802
713	8796	52802
714	8815	52831
715	8831	52842
716	8843	52828
717	8855	52812
718	8867	52796
719	8878	52777
720	8890	52762
721	8902	52751
722	8915	52737
723	8926	52721
724	8938	52704
725	8952	52706
726	8965	52695
727	8981	52701
728	8996	52705
729	9012	52717
730	9025	52707
731	9042	52721
732	9060	52742
733	9075	52749
734	9087	52730
735	9097	52708
736	9110	52696
737	9121	52677
738	9132	52657
739	9143	52638
740	9154	52619
741	9166	52601
742	9178	52586
743	9193	52588
744	9208	52594
745	9227	52617
746	9239	52606
747	9251	52590
748	9262	52572
749	9274	52553
750	9286	52539
751	9298	52524
752	9309	52507
753	9322	52495
754	9335	52486
755	9348	52477
756	9359	52458
757	9370	52439
758	9384	52436
759	9397	52427
760	9408	52409
761	9419	52390
762	9431	52372
763	9442	52356
764	9454	52339
765	9465	52321
766	9476	52302
767	9488	52286
768	9500	52270
769	9511	52252
770	9523	52237
771	9534	52219
772	9546	52201
773	9557	52182
774	9568	52161
775	9579	52143
776	9590	52124
777	9601	52106
778	9613	52087
779	9623	52066
780	9636	52059
781	9650	52052
782	9663	52044
783	9676	52035
784	9688	52023
785	9700	52009
786	9712	51992
787	9724	51979
788	9736	51964
789	9748	51950
790	9761	51942
791	9774	51932
792	9787	51922
793	9799	51910
794	9813	51907
795	9825	51894
796	9838	51881
797	9849	51864
798	9860	51845
799	9872	51830
800	9883	51812
801	9894	51792
802	9906	51775
803	9917	51760
804	9929	51746
805	9941	51728
806	9953	51714
807	9964	51699
808	9978	51692
809	9989	51673
810	10000	51653
811	10011	51636
812	10025	51632
813	10038	51620
814	10049	51605
815	10062	51592
816	10073	51577
817	10086	51566
818	10098	51551
819	10111	51545
820	10123	51531
821	10135	51517
822	10147	51503
823	10159	51489
824	10172	51476
825	10183	51460
826	10195	51444
827	10209	51440
828	10222	51432
829	10234	51418
830	10246	51403
831	10259	51395
832	10272	51386
833	10285	51378
834	10299	51375
835	10312	51364
836	10325	51354
837	10337	51341
838	10349	51330
839	10361	51312
840	10373	51300
841	10385	51284
842	10397	51272
843	10408	51254
844	10419	51236
845	10432	51223
846	10443	51206
847	10455	51191
848	10467	51180
849	10479	51166
850	10491	51150
851	10503	51138
852	10515	51123
853	10527	51108
854	10539	51096
855	10551	51081
856	10562	51064
857	10573	51045
858	10586	51034
859	10599	51025
860	10612	51015
861	10626	51012
862	10640	51006
863	10652	50995
864	10665	50983
865	10676	50967
866	10688	50954
867	10701	50943
868	10714	50934
869	10725	50917
870	10738	50905
871	10757	50927
872	10773	50928
873	10789	50933
874	10800	50917
875	10813	50908
876	10825	50891
877	10835	50872
878	10847	50854
879	10858	50837
880	10870	50824
881	10881	50805
882	10897	50810
883	10912	50809
884	10927	50808
885	10938	50789
886	10949	50772
887	10960	50755
888	10971	50737
889	10983	50721
890	10995	50705
891	11009	50703
892	11024	50704
893	11044	50724
894	11055	50707
895	11066	50688
896	11078	50672
897	11089	50656
898	11102	50645
899	11113	50628
900	11125	50613
901	11142	50621
902	11155	50615
903	11166	50596
904	11178	50580
905	11189	50564
906	11202	50553
907	11214	50538
908	11225	50521
909	11237	50505
910	11249	50491
911	11260	50476
912	11275	50475
913	11293	50486
914	11306	50479
915	11318	50462
916	11329	50445
917	11341	50430
918	11352	50411
919	11363	50395
920	11376	50386
921	11388	50371
922	11399	50352
923	11410	50335
924	11422	50319
925	11434	50307
926	11450	50312
927	11468	50324
928	11480	50310
929	11492	50294
930	11503	50277
931	11517	50269
932	11530	50263
933	11542	50250
934	11554	50236
935	11566	50221
936	11580	50216
937	11600	50236
938	11613	50227
939	11625	50213
940	11637	50199
941	11650	50187
942	11661	50171
943	11676	50169
944	11694	50179
945	11705	50162
946	11716	50144
947	11728	50128
948	11739	50112
949	11750	50095
950	11762	50080
951	11774	50067
952	11788	50061
953	11807	50078
954	11819	50062
955	11830	50046
956	11842	50028
957	11856	50023
958	11870	50021
959	11885	50016
960	11896	50001
961	11908	49984
962	11919	49968
963	11930	49949
964	11941	49933
965	11955	49927
966	11971	49929
967	11987	49932
968	11998	49914
969	12009	49896
970	12020	49877
971	12032	49861
972	12043	49844
973	12057	49838
974	12079	49866
975	12094	49866
976	12107	49854
977	12118	49838
978	12130	49824
979	12143	49811
980	12154	49795
981	12167	49784
982	12178	49768
983	12190	49752
984	12201	49735
985	12214	49723
986	12226	49711
987	12242	49715
988	12258	49716
989	12275	49723
990	12288	49711
991	12300	49697
992	12312	49683
993	12324	49670
994	12336	49655
995	12347	49639
996	12361	49632
997	12373	49618
998	12386	49606
999	12398	49595
1000	12410	49581
1001	12422	49565
1002	12434	49550
1003	12445	49533
1004	12457	49521
1005	12470	49509
1006	12482	49496
1007	12493	49479
1008	12505	49465
1009	12517	49451
1010	12529	49436
1011	12541	49423
1012	12559	49432
1013	12568	49407
1014	12581	49398
1015	12593	49382
1016	12605	49369
1017	12620	49365
1018	12640	49383
1019	12656	49386
1020	12669	49375
1021	12681	49360
1022	12692	49344
1023	12704	49327
1024	12715	49311
1025	12726	49294
1026	12738	49277
1027	12750	49263
1028	12761	49247
1029	12774	49235
1030	12785	49218
1031	12797	49206
1032	12810	49194
1033	12823	49187
1034	12837	49178
1035	12854	49182
1036	12884	49237
1037	12896	49225
1038	12908	49209
1039	12919	49192
1040	12930	49175
1041	12941	49157
1042	12953	49142
1043	12968	49142
1044	12985	49146
1045	12998	49136
1046	13009	49119
1047	13021	49103
1048	13032	49087
1049	13046	49078
1050	13059	49067
1051	13073	49064
1052	13085	49050
1053	13097	49033
1054	13108	49016
1055	13120	49004
1056	13133	48993
1057	13149	48992
1058	13164	48991
1059	13176	48976
1060	13187	48959
1061	13198	48942
1062	13210	48926
1063	13220	48907
1064	13232	48891
1065	13243	48875
1066	13255	48861
1067	13269	48852
1068	13281	48839
1069	13294	48827
1070	13305	48812
1071	13317	48799
1072	13331	48789
1073	13343	48775
1074	13354	48759
1075	13366	48747
1076	13379	48733
1077	13392	48723
1078	13404	48709
1079	13417	48699
1080	13434	48704
1081	13454	48719
1082	13467	48708
1083	13478	48693
1084	13490	48677
1085	13501	48660
1086	13513	48644
1087	13524	48627
1088	13536	48615
1089	13549	48603
1090	13562	48594
1091	13575	48582
1092	13587	48568
1093	13599	48553
1094	13610	48539
1095	13623	48528
1096	13637	48519
1097	13649	48506
1098	13661	48493
1099	13672	48476
1100	13686	48468
1101	13698	48454
1102	13712	48447
1103	13724	48433
1104	13737	48422
1105	13750	48411
1106	13762	48400
1107	13776	48390
1108	13788	48378
1109	13800	48363
1110	13811	48347
1111	13823	48334
1112	13837	48326
1113	13849	48312
1114	13861	48297
1115	13876	48294
1116	13891	48292
1117	13909	48297
1118	13922	48288
1119	13934	48273
1120	13945	48256
1121	13957	48241
1122	13968	48223
1123	13979	48208
1124	13997	48213
1125	14013	48214
1126	14025	48199
1127	14036	48183
1128	14048	48167
1129	14059	48150
1130	14070	48133
1131	14081	48116
1132	14092	48098
1133	14103	48081
1134	14114	48064
1135	14130	48064
1136	14148	48071
1137	14164	48070
1138	14178	48063
1139	14191	48050
1140	14204	48039
1141	14217	48029
1142	14230	48019
1143	14241	48003
1144	14253	47988
1145	14265	47974
1146	14282	47978
1147	14298	47977
1148	14317	47985
1149	14333	47985
1150	14348	47981
1151	14363	47978
1152	14374	47961
1153	14386	47946
1154	14397	47930
1155	14409	47915
1156	14421	47899
1157	14433	47886
1158	14448	47883
1159	14462	47876
1160	14476	47868
1161	14488	47852
1162	14500	47838
1163	14511	47824
1164	14523	47810
1165	14535	47795
1166	14549	47786
1167	14566	47791
1168	14585	47797
1169	14596	47781
1170	14609	47772
1171	14621	47755
1172	14635	47750
1173	14651	47747
1174	14664	47737
1175	14676	47722
1176	14687	47705
1177	14702	47702
1178	14719	47704
1179	14734	47699
1180	14749	47696
1181	14766	47698
1182	14777	47680
1183	14789	47665
1184	14800	47648
1185	14814	47642
1186	14829	47637
1187	14850	47650
1188	14861	47634
1189	14874	47623
1190	14889	47619
1191	14905	47616
1192	14919	47608
1193	14930	47593
1194	14942	47576
1195	14953	47561
1196	14966	47549
1197	14979	47538
1198	14993	47530
1199	15005	47517
1200	15016	47500
1201	15028	47487
1202	15040	47471
1203	15053	47461
1204	15065	47447
1205	15079	47437
1206	15091	47424
1207	15107	47424
1208	15124	47426
1209	15139	47421
1210	15151	47405
1211	15162	47389
1212	15175	47376
1213	15186	47359
1214	15198	47346
1215	15209	47329
1216	15221	47314
1217	15233	47300
1218	15244	47285
1219	15256	47269
1220	15267	47253
1221	15280	47240
1222	15291	47224
1223	15302	47208
1224	15314	47194
1225	15326	47178
1226	15339	47167
1227	15350	47151
1228	15364	47144
1229	15377	47133
1230	15391	47123
1231	15403	47111
1232	15416	47101
1233	15429	47089
1234	15442	47078
1235	15455	47065
1236	15467	47052
1237	15480	47042
1238	15494	47033
1239	15507	47022
1240	15520	47010
1241	15532	46997
1242	15548	46994
1243	15570	47011
1244	15583	47000
1245	15595	46987
1246	15607	46971
1247	15624	46974
1248	15648	46994
1249	15661	46984
1250	15673	46970
1251	15684	46954
1252	15700	46952
1253	15716	46948
1254	15730	46942
1255	15742	46927
1256	15756	46917
1257	15768	46903
1258	15784	46902
1259	15803	46908
1260	15815	46894
1261	15826	46877
1262	15840	46868
1263	15855	46863
1264	15872	46863
1265	15883	46847
1266	15894	46830
1267	15905	46814
1268	15916	46796
1269	15929	46785
1270	15943	46775
1271	15959	46774
1272	15979	46782
1273	15993	46776
1274	16005	46760
1275	16018	46748
1276	16032	46740
1277	16048	46739
1278	16060	46725
1279	16074	46716
1280	16086	46701
1281	16097	46684
